"Address","Postal.Code","Location"
"Alfons-Müller-Platz ","50389","Wesseling"
"Hauptstr. 10B","66459","Kirkel"
"Edisonstr. 36","04435","Schkeuditz"
"Kutterstr. 3 / 26386 Wilhelmshaven-Rüstersiel","26386","Wilhelmshaven"
"Am neuen Markt 8","66877","Ramstein-Miesenbach"
"Rübenkamp 226","22307","Hamburg"
"Geisenheimer Str. 10","65197","Wiesbaden"
"Rathausplatz 1","30823","Garbsen"
"Weilimdorfer Str. 74 2","70839","Gerlingen"
"Werkstr. 1","24837","Schleswig"
"Auf Den Steinen 20","06507","Gernrode"
"Meldorfer Str. 101","25746","Heide"
"Schleswag-HeinGas-Platz 1","25451","Quickborn"
"Stuckenacker 3","58708","Menden"
"GOTTLIEB-DUNKEL-STR. 20-22 / 12099 BERLIN-TEMPELHOF","12099","BERLIN"
"Duisburger Str. 78","45479","Mülheim"
"Nordstr. 1","09648","Altmittweida"
"Nymphenburger Str. 39","80335","München"
"Raiffeisenstr. 8","59757","Arnsberg"
"Theodor-Heuss-Allee 20","28215","Bremen"
"Speyerer Schlag 8","67547","Worms"
"Gewerbegebiet Nord 1","04655","Kohren-Sahlis"
"Ferdinand-Brune-Haus ","32754","Detmold"
"Alt Bartelsdorfer Str. 18","18146","Rostock"
"Kaiser-Karl-V.-Allee 3","93077","Bad Abbach"
"Bungertstr. 27","47053","Duisburg"
"Hansastr. 6","59821","Arnsberg"
"NETTELBECKSTR. 7-15 / 40477 DÜSSELDORF-PEMPELFORT","40477","DÜSSELDORF"
"Kalver Str. 5","58515","Lüdenscheid"
"MAX-STROMEYER-STR. 21-29 / 78467 KONSTANZ-INDUSTRIEGEBIET","78467","Konstanz"
"Arminiusstr. 1C","07548","Gera"
"Volkmarser Str. 3","34479","Breuna"
"Ablaßwiesen 8","78333","Stockach"
"Rathausplatz 1","09212","Limbach-Oberfrohna"
"Weierstr. 54","53894","Mechernich"
"Dieselstr. 21-27","85386","Eching"
"Carl-Neuberg-Str. 1","30625","Hannover"
"Heidbergstr. 101-111","22846","Norderstedt"
"Aachener Str. 300","50933","Köln"
"Etzelstr. 44","74076","Heilbronn"
"Wehmenkamp 8","45131","Essen"
"Domäne 3","32816","Schieder-Schwalenberg"
"Kirschenallee 43E","25474","Hasloh"
"Widdersdorfer Str. 205 / 50825 Köln","50825","Köln"
"Ausspanne 16","98693","Ilmenau"
"Koblenzer Str. 115","56073","Koblenz"
"Hans-Rießer-Str. 7","74076","Heilbronn"
"Mühlenweg 34 / 27383 Scheeßel","27383","Scheeßel"
"Querfurter Str. 8","06217","Merseburg"
"Robert-Bosch-Str. 1 c / 38112 BRAUNSCHWEIG","38112","BRAUNSCHWEIG"
"LESSINGSTR. 46 / 21629 NEU WULMSTORF","21629","NEU WULMSTORF"
"Gerhardyweg 1","26899","Rhede"
"Theodor-Haubach-Str. 12","67433","Neustadt"
"SÜLZBORN 12 / 39128 MAGDEBURG-SÜLZEGRUND","39128","Magdeburg"
"Donaustr. 90","90451","Nürnberg"
"Kölner Str. 76","51702","Bergneustadt"
"Rügenstr. 1","33397","Rietberg"
"Im Gansbruch 3","52441","Linnich"
"Koblenzer Str. 141","56626","Andernach"
"Werkstr. 10","46395","Bocholt"
"Heinrichstr. 17/19","36037","Fulda"
"Faberstr. 6 / 55278 Mommenheim","55278","Mommenheim"
"Königstr. 21","76829","Landau"
"Ratsteich 30","24837","Schleswig"
"Lilienthalstr. 18","41515","Grevenbroich"
"Widdersdorfer Str. 236-240 / 50825 Köln","50825","Köln"
"Benzstr. 10","24148","Kiel"
"Hauptstr. 96","72401","Haigerloch"
"Moosheimer Str. 28","88348","Bad Saulgau"
"Stadtplatz 4","93333","Neustadt"
"Industriestr. 6","83607","Holzkirchen"
"Camphausenweg 8","52511","Geilenkirchen"
"Bahnhofstraße 22","","Mitterteich"
"Am Sportforum 3 / 04105 Leipzig","4105","Leipzig"
"Schweriner Str. 90","23909","Ratzeburg"
"Caroline-Michaelis-Str. 5-11","10115","Berlin"
"Sternbuschweg 132","47057","Duisburg"
"Rheinstraße 1","","Dornburg"
